model	file	W2_statistic	p_value
GTR20+C60opt+R3-PMSF	seq_18.fa_gap.sitewise_entropy.txt	2.831667e-02	9.816202e-01
GTR20+C60opt+R3-PMSF	seq_19.fa_gap.sitewise_entropy.txt	1.562766e-01	3.711918e-01
GTR20+C60opt+R3-PMSF	seq_2.fa_gap.sitewise_entropy.txt	3.529573e-02	9.561005e-01
GTR20+C60opt+R3-PMSF	seq_20.fa_gap.sitewise_entropy.txt	8.857715e-02	6.442257e-01
GTR20+C60opt+R3-PMSF	seq_21.fa_gap.sitewise_entropy.txt	7.959956e-02	6.946360e-01
GTR20+C60opt+R3-PMSF	seq_22.fa_gap.sitewise_entropy.txt	1.001610e-01	5.844555e-01
GTR20+C60opt+R3-PMSF	seq_23.fa_gap.sitewise_entropy.txt	2.245500e-01	2.246392e-01
GTR20+C60opt+R3-PMSF	seq_24.fa_gap.sitewise_entropy.txt	7.052327e-02	7.488545e-01
GTR20+C60opt+R3-PMSF	seq_25.fa_gap.sitewise_entropy.txt	7.784803e-02	7.048636e-01
GTR20+C60opt+R3-PMSF	seq_26.fa_gap.sitewise_entropy.txt	2.318456e-01	2.134855e-01
GTR20+C60opt+R3-PMSF	seq_27.fa_gap.sitewise_entropy.txt	1.146836e-01	5.178869e-01
GTR20+C60opt+R3-PMSF	seq_28.fa_gap.sitewise_entropy.txt	2.997179e-02	9.765518e-01
GTR20+C60opt+R3-PMSF	seq_29.fa_gap.sitewise_entropy.txt	3.141832e-02	9.715988e-01
GTR20+C60opt+R3-PMSF	seq_3.fa_gap.sitewise_entropy.txt	5.831066e-02	8.251475e-01
GTR20+C60opt+R3-PMSF	seq_30.fa_gap.sitewise_entropy.txt	3.662708e-02	9.501041e-01
GTR20+C60opt+R3-PMSF	seq_31.fa_gap.sitewise_entropy.txt	5.030836e-01	3.912186e-02
GTR20+C60opt+R3-PMSF	seq_32.fa_gap.sitewise_entropy.txt	8.323271e-02	6.738199e-01
GTR20+C60opt+R3-PMSF	seq_33.fa_gap.sitewise_entropy.txt	1.113773e-01	5.322524e-01
GTR20+C60opt+R3-PMSF	seq_34.fa_gap.sitewise_entropy.txt	5.093634e-02	8.710928e-01
GTR20+C60opt+R3-PMSF	seq_35.fa_gap.sitewise_entropy.txt	8.648335e-02	6.556708e-01
GTR20+C60opt+R3-PMSF	seq_36.fa_gap.sitewise_entropy.txt	2.931034e-02	9.786555e-01
GTR20+C60opt+R3-PMSF	seq_37.fa_gap.sitewise_entropy.txt	9.335268e-02	6.188538e-01
GTR20+C60opt+R3-PMSF	seq_38.fa_gap.sitewise_entropy.txt	3.982256e-02	9.345085e-01
GTR20+C60opt+R3-PMSF	seq_39.fa_gap.sitewise_entropy.txt	3.743107e-02	9.463331e-01
GTR20+C60opt+R3-PMSF	seq_4.fa_gap.sitewise_entropy.txt	1.116902e-01	5.308735e-01
GTR20+C60opt+R3-PMSF	seq_40.fa_gap.sitewise_entropy.txt	3.395780e-02	9.617938e-01
GTR20+C60opt+R3-PMSF	seq_41.fa_gap.sitewise_entropy.txt	1.485461e-01	3.942420e-01
GTR20+C60opt+R3-PMSF	seq_42.fa_gap.sitewise_entropy.txt	2.198759e-02	9.948546e-01
GTR20+C60opt+R3-PMSF	seq_43.fa_gap.sitewise_entropy.txt	1.519749e-02	9.996016e-01
GTR20+C60opt+R3-PMSF	seq_44.fa_gap.sitewise_entropy.txt	6.316499e-02	7.945833e-01
GTR20+C60opt+R3-PMSF	seq_45.fa_gap.sitewise_entropy.txt	5.798560e-02	8.271940e-01
GTR20+C60opt+R3-PMSF	seq_46.fa_gap.sitewise_entropy.txt	2.884735e-01	1.457574e-01
GTR20+C60opt+R3-PMSF	seq_47.fa_gap.sitewise_entropy.txt	4.580781e-02	9.016974e-01
GTR20+C60opt+R3-PMSF	seq_48.fa_gap.sitewise_entropy.txt	5.448626e-02	8.491413e-01
GTR20+C60opt+R3-PMSF	seq_49.fa_gap.sitewise_entropy.txt	1.071287e-01	5.513858e-01
GTR20+C60opt+R3-PMSF	seq_5.fa_gap.sitewise_entropy.txt	2.207523e-01	2.307164e-01
GTR20+C60opt+R3-PMSF	seq_50.fa_gap.sitewise_entropy.txt	3.019170e-02	9.758297e-01
GTR20+C60opt+R3-PMSF	seq_51.fa_gap.sitewise_entropy.txt	8.746528e-02	6.502792e-01
GTR20+C60opt+R3-PMSF	seq_52.fa_gap.sitewise_entropy.txt	1.832407e-02	9.983593e-01
GTR20+C60opt+R3-PMSF	seq_53.fa_gap.sitewise_entropy.txt	1.151310e-01	5.159774e-01
GTR20+C60opt+R3-PMSF	seq_54.fa_gap.sitewise_entropy.txt	1.157079e-02	9.999707e-01
GTR20+C60opt+R3-PMSF	seq_55.fa_gap.sitewise_entropy.txt	6.178322e-02	8.032725e-01
GTR20+C60opt+R3-PMSF	seq_56.fa_gap.sitewise_entropy.txt	1.411932e-01	4.177881e-01
GTR20+C60opt+R3-PMSF	seq_57.fa_gap.sitewise_entropy.txt	9.517398e-02	6.094477e-01
GTR20+C60opt+R3-PMSF	seq_58.fa_gap.sitewise_entropy.txt	4.440168e-02	9.097472e-01
GTR20+C60opt+R3-PMSF	seq_59.fa_gap.sitewise_entropy.txt	7.463607e-02	7.239240e-01
GTR20+C60opt+R3-PMSF	seq_6.fa_gap.sitewise_entropy.txt	3.778006e-02	9.446628e-01
GTR20+C60opt+R3-PMSF	seq_60.fa_gap.sitewise_entropy.txt	2.078597e-01	2.528488e-01
GTR20+C60opt+R3-PMSF	seq_61.fa_gap.sitewise_entropy.txt	3.492869e-02	9.576966e-01
GTR20+C60opt+R3-PMSF	seq_62.fa_gap.sitewise_entropy.txt	7.404640e-02	7.274640e-01
GTR20+C60opt+R3-PMSF	seq_63.fa_gap.sitewise_entropy.txt	6.702636e-02	7.704416e-01
GTR20+C60opt+R3-PMSF	seq_64.fa_gap.sitewise_entropy.txt	9.029902e-02	6.349596e-01
GTR20+C60opt+R3-PMSF	seq_65.fa_gap.sitewise_entropy.txt	2.086490e-01	2.514236e-01
GTR20+C60opt+R3-PMSF	seq_66.fa_gap.sitewise_entropy.txt	1.318923e-02	9.998877e-01
GTR20+C60opt+R3-PMSF	seq_67.fa_gap.sitewise_entropy.txt	1.262555e-01	4.710413e-01
GTR20+C60opt+R3-PMSF	seq_68.fa_gap.sitewise_entropy.txt	3.764453e-02	9.453138e-01
GTR20+C60opt+R3-PMSF	seq_69.fa_gap.sitewise_entropy.txt	2.252115e-01	2.236002e-01
GTR20+C60opt+R3-PMSF	seq_7.fa_gap.sitewise_entropy.txt	7.245202e-02	7.370949e-01
GTR20+C60opt+R3-PMSF	seq_70.fa_gap.sitewise_entropy.txt	4.796091e-02	8.890569e-01
GTR20+C60opt+R3-PMSF	seq_71.fa_gap.sitewise_entropy.txt	8.402539e-02	6.693520e-01
GTR20+C60opt+R3-PMSF	seq_72.fa_gap.sitewise_entropy.txt	1.014187e-01	5.783282e-01
GTR20+C60opt+R3-PMSF	seq_73.fa_gap.sitewise_entropy.txt	4.358995e-02	9.143090e-01
GTR20+C60opt+R3-PMSF	seq_74.fa_gap.sitewise_entropy.txt	9.918850e-02	5.892416e-01
GTR20+C60opt+R3-PMSF	seq_75.fa_gap.sitewise_entropy.txt	1.651352e-01	3.467485e-01
